analysis_id,timestamp,image_name,face_index,dominant_emotion,dominant_confidence,angry,disgust,fear,happy,sad,surprise,neutral,detected_objects,strict_response,strict_clarity,strict_coherence,strict_factual_accuracy,strict_overall,structured_response,structured_clarity,structured_coherence,structured_factual_accuracy,structured_overall,natural_response,natural_clarity,natural_coherence,natural_factual_accuracy,natural_overall
46297d6d60d3437ca18078197a358eb1,2026-08-29T11:10:11.064473+00:00,6.jpg,1,neutral,99.29,0.0,0.0,0.39,0.231,0.087,0.001,99.291,dog; person x2,"There are two people and a dog in the image. Face 1 has a neutral facial expression with a confidence of 99%. Face 2 has a predicted sad facial expression with a confidence of 50%. Face 3 also has a predicted sad facial expression, but with a slightly higher confidence of 51%. Face 4 has a predicted happy facial expression with a high confidence of 83%. The image contains two people and a dog.",67.5,85.0,83.3,78.6,"Two faces were detected in the image. Face 1 has a neutral facial expression with a confidence level of 99%, while Face 2 and Face 3 display sad expressions with confidence levels of 50% and 51%, respectively. Face 4 exhibits a happy facial expression with a confidence level of 83%. The visual context includes two people and a dog. This description is based on the outputs of the AI models.",56.4,88.0,83.3,75.9,"There are two people in the image, accompanied by a dog. The first person has a neutral facial expression, which is predicted with 99% confidence. The second and third individuals display sad facial expressions, with confidence levels of 50% and 51%, respectively. In contrast, the fourth person's face shows a happy expression, accurately predicted at 83%. A dog is present in the scene, serving as visual context to these human figures.",50.6,88.0,100.0,79.5
46297d6d60d3437ca18078197a358eb1,2026-08-29T11:10:11.064473+00:00,6.jpg,2,sad,49.98,0.01,0.0,0.053,0.0,49.982,0.0,49.955,dog; person x2,"There are two people and a dog in the image. Face 1 has a neutral facial expression with a confidence of 99%. Face 2 has a predicted sad facial expression with a confidence of 50%. Face 3 also has a predicted sad facial expression, but with a slightly higher confidence of 51%. Face 4 has a predicted happy facial expression with a high confidence of 83%. The image contains two people and a dog.",67.5,85.0,83.3,78.6,"Two faces were detected in the image. Face 1 has a neutral facial expression with a confidence level of 99%, while Face 2 and Face 3 display sad expressions with confidence levels of 50% and 51%, respectively. Face 4 exhibits a happy facial expression with a confidence level of 83%. The visual context includes two people and a dog. This description is based on the outputs of the AI models.",56.4,88.0,83.3,75.9,"There are two people in the image, accompanied by a dog. The first person has a neutral facial expression, which is predicted with 99% confidence. The second and third individuals display sad facial expressions, with confidence levels of 50% and 51%, respectively. In contrast, the fourth person's face shows a happy expression, accurately predicted at 83%. A dog is present in the scene, serving as visual context to these human figures.",50.6,88.0,100.0,79.5
46297d6d60d3437ca18078197a358eb1,2026-08-29T11:10:11.064473+00:00,6.jpg,3,sad,51.1,0.002,0.0,48.896,0.003,51.097,0.002,0.0,dog; person x2,"There are two people and a dog in the image. Face 1 has a neutral facial expression with a confidence of 99%. Face 2 has a predicted sad facial expression with a confidence of 50%. Face 3 also has a predicted sad facial expression, but with a slightly higher confidence of 51%. Face 4 has a predicted happy facial expression with a high confidence of 83%. The image contains two people and a dog.",67.5,85.0,83.3,78.6,"Two faces were detected in the image. Face 1 has a neutral facial expression with a confidence level of 99%, while Face 2 and Face 3 display sad expressions with confidence levels of 50% and 51%, respectively. Face 4 exhibits a happy facial expression with a confidence level of 83%. The visual context includes two people and a dog. This description is based on the outputs of the AI models.",56.4,88.0,83.3,75.9,"There are two people in the image, accompanied by a dog. The first person has a neutral facial expression, which is predicted with 99% confidence. The second and third individuals display sad facial expressions, with confidence levels of 50% and 51%, respectively. In contrast, the fourth person's face shows a happy expression, accurately predicted at 83%. A dog is present in the scene, serving as visual context to these human figures.",50.6,88.0,100.0,79.5
46297d6d60d3437ca18078197a358eb1,2026-08-29T11:10:11.064473+00:00,6.jpg,4,happy,82.51,0.003,0.0,0.048,82.513,10.069,0.0,7.366,dog; person x2,"There are two people and a dog in the image. Face 1 has a neutral facial expression with a confidence of 99%. Face 2 has a predicted sad facial expression with a confidence of 50%. Face 3 also has a predicted sad facial expression, but with a slightly higher confidence of 51%. Face 4 has a predicted happy facial expression with a high confidence of 83%. The image contains two people and a dog.",67.5,85.0,83.3,78.6,"Two faces were detected in the image. Face 1 has a neutral facial expression with a confidence level of 99%, while Face 2 and Face 3 display sad expressions with confidence levels of 50% and 51%, respectively. Face 4 exhibits a happy facial expression with a confidence level of 83%. The visual context includes two people and a dog. This description is based on the outputs of the AI models.",56.4,88.0,83.3,75.9,"There are two people in the image, accompanied by a dog. The first person has a neutral facial expression, which is predicted with 99% confidence. The second and third individuals display sad facial expressions, with confidence levels of 50% and 51%, respectively. In contrast, the fourth person's face shows a happy expression, accurately predicted at 83%. A dog is present in the scene, serving as visual context to these human figures.",50.6,88.0,100.0,79.5
a47f170dc88744b982e5a4b32fddeb99,2026-08-29T11:15:39.986938+00:00,7.jpg,1,neutral,82.05,0.021,0.0,0.583,15.484,0.985,0.879,82.047,person x2; tie,"Two people are present, one wearing a tie. Face 1 has a neutral facial expression with 82% confidence, while Face 2 displays fear with 76% confidence. Face 3 also shows a neutral facial expression with 96% confidence, and Face 4 exhibits an angry facial expression with 92% confidence. The detected objects provide brief visual context to the scene. The result is based only on model predictions.",55.0,88.0,83.3,75.4,"Two people were detected in the image. Face 1 was classified as having a neutral facial expression with a confidence level of 82%, while Face 2 was classified as showing fear with a confidence level of 76%. Face 3 was also classified as having a neutral facial expression, but with a higher confidence level of 96%. The two individuals were observed wearing ties. This description is based on the outputs of the AI models.",56.2,88.0,66.7,70.3,"There are two people in the image, both wearing ties. One face has a neutral expression with 82% confidence, while another face displays fear with 76% confidence. The third face also shows a neutral expression with 96% confidence, and the fourth face exhibits an angry expression with 92% confidence. These facial expressions are based on the model's predictions, which should be taken as the detected emotions rather than the actual emotional state of the individuals.",50.6,88.0,83.3,74.0
a47f170dc88744b982e5a4b32fddeb99,2026-08-29T11:15:39.986938+00:00,7.jpg,2,fear,75.91,8.051,0.0,75.908,2.371,13.327,0.203,0.14,person x2; tie,"Two people are present, one wearing a tie. Face 1 has a neutral facial expression with 82% confidence, while Face 2 displays fear with 76% confidence. Face 3 also shows a neutral facial expression with 96% confidence, and Face 4 exhibits an angry facial expression with 92% confidence. The detected objects provide brief visual context to the scene. The result is based only on model predictions.",55.0,88.0,83.3,75.4,"Two people were detected in the image. Face 1 was classified as having a neutral facial expression with a confidence level of 82%, while Face 2 was classified as showing fear with a confidence level of 76%. Face 3 was also classified as having a neutral facial expression, but with a higher confidence level of 96%. The two individuals were observed wearing ties. This description is based on the outputs of the AI models.",56.2,88.0,66.7,70.3,"There are two people in the image, both wearing ties. One face has a neutral expression with 82% confidence, while another face displays fear with 76% confidence. The third face also shows a neutral expression with 96% confidence, and the fourth face exhibits an angry expression with 92% confidence. These facial expressions are based on the model's predictions, which should be taken as the detected emotions rather than the actual emotional state of the individuals.",50.6,88.0,83.3,74.0
a47f170dc88744b982e5a4b32fddeb99,2026-08-29T11:15:39.986938+00:00,7.jpg,3,neutral,95.62,0.055,0.0,0.081,1.59,2.65,0.003,95.621,person x2; tie,"Two people are present, one wearing a tie. Face 1 has a neutral facial expression with 82% confidence, while Face 2 displays fear with 76% confidence. Face 3 also shows a neutral facial expression with 96% confidence, and Face 4 exhibits an angry facial expression with 92% confidence. The detected objects provide brief visual context to the scene. The result is based only on model predictions.",55.0,88.0,83.3,75.4,"Two people were detected in the image. Face 1 was classified as having a neutral facial expression with a confidence level of 82%, while Face 2 was classified as showing fear with a confidence level of 76%. Face 3 was also classified as having a neutral facial expression, but with a higher confidence level of 96%. The two individuals were observed wearing ties. This description is based on the outputs of the AI models.",56.2,88.0,66.7,70.3,"There are two people in the image, both wearing ties. One face has a neutral expression with 82% confidence, while another face displays fear with 76% confidence. The third face also shows a neutral expression with 96% confidence, and the fourth face exhibits an angry expression with 92% confidence. These facial expressions are based on the model's predictions, which should be taken as the detected emotions rather than the actual emotional state of the individuals.",50.6,88.0,83.3,74.0
a47f170dc88744b982e5a4b32fddeb99,2026-08-29T11:15:39.986938+00:00,7.jpg,4,angry,92.15,92.148,0.0,0.0,0.0,2.45,0.0,5.401,person x2; tie,"Two people are present, one wearing a tie. Face 1 has a neutral facial expression with 82% confidence, while Face 2 displays fear with 76% confidence. Face 3 also shows a neutral facial expression with 96% confidence, and Face 4 exhibits an angry facial expression with 92% confidence. The detected objects provide brief visual context to the scene. The result is based only on model predictions.",55.0,88.0,83.3,75.4,"Two people were detected in the image. Face 1 was classified as having a neutral facial expression with a confidence level of 82%, while Face 2 was classified as showing fear with a confidence level of 76%. Face 3 was also classified as having a neutral facial expression, but with a higher confidence level of 96%. The two individuals were observed wearing ties. This description is based on the outputs of the AI models.",56.2,88.0,66.7,70.3,"There are two people in the image, both wearing ties. One face has a neutral expression with 82% confidence, while another face displays fear with 76% confidence. The third face also shows a neutral expression with 96% confidence, and the fourth face exhibits an angry expression with 92% confidence. These facial expressions are based on the model's predictions, which should be taken as the detected emotions rather than the actual emotional state of the individuals.",50.6,88.0,83.3,74.0
e9b5c18b23d5418c9cad1f04a563147d,2026-08-29T11:22:00.300805+00:00,8.jpg,1,fear,50.06,29.405,0.0,50.06,0.633,19.599,0.174,0.129,person x6,"There are six people present in the image, each with a unique facial expression. Face 1 displays fear, Face 2 has a neutral expression, Face 3 shows sadness, Face 4 appears angry, and Faces 5 and 6 display happiness. The confidence levels for these predictions are 50%, 72%, 39%, 29%, 73%, and 73% respectively. These results are based only on model predictions.",55.4,95.0,66.7,72.4,"Six faces were detected in the image. The facial-expression classification and confidence for each face are as follows: Face 1 is predicted to be fearful with a confidence of 50%, Face 2 is neutral with a confidence of 72%, Face 3 is sad with a confidence of 39%, Face 4 is angry with a confidence of 29%, and Face 5 is happy with a confidence of 73%. The visual context includes the presence of multiple people. This description is based on the outputs of the AI models.",58.0,73.0,83.3,71.4,"There are six people in the scene, each with a unique facial expression. Face 1 displays fear, with a confidence level of 50%. Face 2 appears neutral, with a high confidence of 72%. Face 3 shows sadness, with a moderate confidence of 39%. Face 4 exhibits anger, with a lower confidence of 29%. In contrast, Faces 5 and the remaining person display happiness, with confidence levels of 73% and unknown, respectively. These facial expressions provide a glimpse into the individuals' current emotional states as predicted by the model.",51.3,73.0,66.7,63.7
e9b5c18b23d5418c9cad1f04a563147d,2026-08-29T11:22:00.300805+00:00,8.jpg,2,neutral,72.23,0.194,0.0,0.012,12.346,15.214,0.004,72.23,person x6,"There are six people present in the image, each with a unique facial expression. Face 1 displays fear, Face 2 has a neutral expression, Face 3 shows sadness, Face 4 appears angry, and Faces 5 and 6 display happiness. The confidence levels for these predictions are 50%, 72%, 39%, 29%, 73%, and 73% respectively. These results are based only on model predictions.",55.4,95.0,66.7,72.4,"Six faces were detected in the image. The facial-expression classification and confidence for each face are as follows: Face 1 is predicted to be fearful with a confidence of 50%, Face 2 is neutral with a confidence of 72%, Face 3 is sad with a confidence of 39%, Face 4 is angry with a confidence of 29%, and Face 5 is happy with a confidence of 73%. The visual context includes the presence of multiple people. This description is based on the outputs of the AI models.",58.0,73.0,83.3,71.4,"There are six people in the scene, each with a unique facial expression. Face 1 displays fear, with a confidence level of 50%. Face 2 appears neutral, with a high confidence of 72%. Face 3 shows sadness, with a moderate confidence of 39%. Face 4 exhibits anger, with a lower confidence of 29%. In contrast, Faces 5 and the remaining person display happiness, with confidence levels of 73% and unknown, respectively. These facial expressions provide a glimpse into the individuals' current emotional states as predicted by the model.",51.3,73.0,66.7,63.7
e9b5c18b23d5418c9cad1f04a563147d,2026-08-29T11:22:00.300805+00:00,8.jpg,3,sad,38.58,0.169,0.002,0.045,30.181,38.583,0.012,31.009,person x6,"There are six people present in the image, each with a unique facial expression. Face 1 displays fear, Face 2 has a neutral expression, Face 3 shows sadness, Face 4 appears angry, and Faces 5 and 6 display happiness. The confidence levels for these predictions are 50%, 72%, 39%, 29%, 73%, and 73% respectively. These results are based only on model predictions.",55.4,95.0,66.7,72.4,"Six faces were detected in the image. The facial-expression classification and confidence for each face are as follows: Face 1 is predicted to be fearful with a confidence of 50%, Face 2 is neutral with a confidence of 72%, Face 3 is sad with a confidence of 39%, Face 4 is angry with a confidence of 29%, and Face 5 is happy with a confidence of 73%. The visual context includes the presence of multiple people. This description is based on the outputs of the AI models.",58.0,73.0,83.3,71.4,"There are six people in the scene, each with a unique facial expression. Face 1 displays fear, with a confidence level of 50%. Face 2 appears neutral, with a high confidence of 72%. Face 3 shows sadness, with a moderate confidence of 39%. Face 4 exhibits anger, with a lower confidence of 29%. In contrast, Faces 5 and the remaining person display happiness, with confidence levels of 73% and unknown, respectively. These facial expressions provide a glimpse into the individuals' current emotional states as predicted by the model.",51.3,73.0,66.7,63.7
e9b5c18b23d5418c9cad1f04a563147d,2026-08-29T11:22:00.300805+00:00,8.jpg,4,angry,28.75,28.746,10.3,7.587,24.377,26.296,0.007,2.688,person x6,"There are six people present in the image, each with a unique facial expression. Face 1 displays fear, Face 2 has a neutral expression, Face 3 shows sadness, Face 4 appears angry, and Faces 5 and 6 display happiness. The confidence levels for these predictions are 50%, 72%, 39%, 29%, 73%, and 73% respectively. These results are based only on model predictions.",55.4,95.0,66.7,72.4,"Six faces were detected in the image. The facial-expression classification and confidence for each face are as follows: Face 1 is predicted to be fearful with a confidence of 50%, Face 2 is neutral with a confidence of 72%, Face 3 is sad with a confidence of 39%, Face 4 is angry with a confidence of 29%, and Face 5 is happy with a confidence of 73%. The visual context includes the presence of multiple people. This description is based on the outputs of the AI models.",58.0,73.0,83.3,71.4,"There are six people in the scene, each with a unique facial expression. Face 1 displays fear, with a confidence level of 50%. Face 2 appears neutral, with a high confidence of 72%. Face 3 shows sadness, with a moderate confidence of 39%. Face 4 exhibits anger, with a lower confidence of 29%. In contrast, Faces 5 and the remaining person display happiness, with confidence levels of 73% and unknown, respectively. These facial expressions provide a glimpse into the individuals' current emotional states as predicted by the model.",51.3,73.0,66.7,63.7
e9b5c18b23d5418c9cad1f04a563147d,2026-08-29T11:22:00.300805+00:00,8.jpg,5,happy,72.8,21.234,0.0,0.228,72.801,0.907,0.0,4.831,person x6,"There are six people present in the image, each with a unique facial expression. Face 1 displays fear, Face 2 has a neutral expression, Face 3 shows sadness, Face 4 appears angry, and Faces 5 and 6 display happiness. The confidence levels for these predictions are 50%, 72%, 39%, 29%, 73%, and 73% respectively. These results are based only on model predictions.",55.4,95.0,66.7,72.4,"Six faces were detected in the image. The facial-expression classification and confidence for each face are as follows: Face 1 is predicted to be fearful with a confidence of 50%, Face 2 is neutral with a confidence of 72%, Face 3 is sad with a confidence of 39%, Face 4 is angry with a confidence of 29%, and Face 5 is happy with a confidence of 73%. The visual context includes the presence of multiple people. This description is based on the outputs of the AI models.",58.0,73.0,83.3,71.4,"There are six people in the scene, each with a unique facial expression. Face 1 displays fear, with a confidence level of 50%. Face 2 appears neutral, with a high confidence of 72%. Face 3 shows sadness, with a moderate confidence of 39%. Face 4 exhibits anger, with a lower confidence of 29%. In contrast, Faces 5 and the remaining person display happiness, with confidence levels of 73% and unknown, respectively. These facial expressions provide a glimpse into the individuals' current emotional states as predicted by the model.",51.3,73.0,66.7,63.7
c01e563abbd24091ab454ddafc18962f,2026-08-29T11:25:47.067371+00:00,9.jpg,1,sad,80.72,1.606,0.02,9.176,1.063,80.716,0.068,7.351,person x2; tie,"Two faces were detected in the image, one person with a tie. Face 1 has a predicted facial expression of sad with 81% confidence, and Face 2 also has a predicted facial expression of sad with 97% confidence. The two individuals are wearing a tie. The result is based only on model predictions.",58.0,88.0,100.0,82.0,Two people were detected in the image. Face 1 was classified with a predicted facial expression of sad and a confidence level of 81%. Face 2 was also classified as sad with a confidence level of 97%. The visual context includes a person wearing a tie. This description is based on the outputs of the AI models.,63.6,88.0,100.0,83.9,"There are two people in the image, both wearing ties. The dominant facial expression of each person is sad, with Face 1 displaying a predicted sadness level of 81% and Face 2 showing a predicted sadness level of 97%. These confidence values indicate that the model's predictions for these individuals' facial expressions are quite strong. The presence of two people in the image, along with their tied attire, provides visual context to these detected emotions. This description reflects the model's predictions based on the provided object detection and facial-expression results.",46.2,95.0,100.0,80.4
c01e563abbd24091ab454ddafc18962f,2026-08-29T11:25:47.067371+00:00,9.jpg,2,sad,97.45,0.035,0.0,1.046,0.001,97.446,0.0,1.472,person x2; tie,"Two faces were detected in the image, one person with a tie. Face 1 has a predicted facial expression of sad with 81% confidence, and Face 2 also has a predicted facial expression of sad with 97% confidence. The two individuals are wearing a tie. The result is based only on model predictions.",58.0,88.0,100.0,82.0,Two people were detected in the image. Face 1 was classified with a predicted facial expression of sad and a confidence level of 81%. Face 2 was also classified as sad with a confidence level of 97%. The visual context includes a person wearing a tie. This description is based on the outputs of the AI models.,63.6,88.0,100.0,83.9,"There are two people in the image, both wearing ties. The dominant facial expression of each person is sad, with Face 1 displaying a predicted sadness level of 81% and Face 2 showing a predicted sadness level of 97%. These confidence values indicate that the model's predictions for these individuals' facial expressions are quite strong. The presence of two people in the image, along with their tied attire, provides visual context to these detected emotions. This description reflects the model's predictions based on the provided object detection and facial-expression results.",46.2,95.0,100.0,80.4
